,SMILES,Tanimoto_Similarity,Euclidian_distance
0,CCCCCCC1=NN2C(=N)/C(=C\c3cc(C)n(-c4ccc(C)cc4C)c3C)C(=O)N=C2S1,0.12586445366528354,0.06931032415398952
1,COCC[C@@H](C)C(=O)N(C)Cc1ccc(O)cc1,0.13609467455621302,0.166925401038276
2,C=CCn1c(S[C@H](C)c2nc3sc(C)c(C)c3c(=O)[nH]2)nnc1C1CC1,0.1081277213352685,0.06629933739779212
3,C[NH+](C/C=C/c1ccco1)CCC(F)(F)F,1.0,1.0
4,COc1ccc(N2C(=O)C(=O)N(CN3CCC(c4nc5ccccc5s4)CC3)C2=O)cc1,0.11690363349131122,0.17371193037903768
5,Cc1ccc([C@@H](C)[NH2+][C@H](C)C(=O)Nc2ccccc2F)cc1,0.13204747774480713,0.16367866355978375
6,O=c1cc(C[NH2+]Cc2cccc(Cl)c2)nc(N2CCCC2)[nH]1,0.1241565452091768,0.2791682185162654
7,O=C(Cn1nc(C(=O)[O-])c2ccccc2c1=O)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,0.10869565217391304,0.05874363461318285
8,O=C(Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1cc(F)c(F)cc1Cl,0.12371134020618557,0.08408627689257818
9,CC(C)Cc1nnc(NC(=O)C(=O)NCCC2CCCCC2)s1,0.0995850622406639,0.05624900896277333
10,C[C@H](NC(=O)[C@@H](O)c1ccccc1)c1nnc2ccccn12,0.10040983606557377,0.12325881516231338
11,O=S(=O)(Nc1cc(F)ccc1F)c1ccc(Cl)cc1F,0.07564102564102564,0.11275647870537521
12,CSc1cc(C(=O)N2c3ccccc3NC(=O)C[C@@H]2C)ccn1,0.11720226843100189,0.081725125875082
13,CCCN1C(=O)c2[nH]nc(-c3cc(Cl)ccc3O)c2[C@H]1c1ccc(C)cc1,0.10247592847317744,0.0994704293810184
