,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,-0.9111772,0.974632,-0.39913982,7.411527,4.3264914,-1.9910282,2.3785715,-0.5436672,1.6285889,4.708436,2.6092079,-2.732542,3.0800579,1.2796774,-4.6472483,-2.1002839,-0.35244915,-3.7682855,5.425702,-2.7217093,-0.8212948,-5.3797035,-1.43395,-2.0165353,6.557818,-3.0736685,-2.0671258,-4.875571,-9.462979,-9.171473,-9.284995,-8.850369,-10.687297,-7.795257,-9.129169,-8.108383,-10.1234045,-8.9174,-7.9083123,-8.569172,-8.679682,-9.850795,-8.67498,-8.374141,-9.88794,-9.233636,-8.472989,-8.333851,-8.5812845,-9.442027,-8.7004595,-9.418826,-8.573137,-8.691383,-9.239441,-8.627082
1,-5.5108747,4.1113286,-1.6889677,6.8921914,-0.2666808,-4.4728866,1.906742,6.516072,10.315855,1.3716211,-0.0612825,-2.0618184,6.6196775,-1.9750103,-5.1923833,-1.1209518,-1.1872958,3.581594,0.3031375,-2.0044844,7.162097,-4.716074,-1.3080115,-6.1066008,2.9136374,-7.1248612,0.8680788,1.5113972,-9.469971,-9.699596,-9.617653,-9.388193,-10.962541,-7.901922,-9.464889,-8.5621805,-10.457616,-9.403802,-8.3575535,-9.110158,-8.792,-10.561869,-8.877262,-8.78081,-10.37806,-9.67197,-8.878353,-8.276747,-9.106236,-9.336885,-9.180665,-10.094757,-8.946964,-8.867605,-9.455294,-8.984741
2,2.8566096,3.5124614,2.1409535,6.5405993,2.806203,-4.474841,2.6613626,-3.620362,3.9039247,1.9854448,8.147204,-1.8339788,-0.31907248,0.3638823,-6.0593114,2.9522538,4.62009,-4.3500986,9.325607,-6.034692,-2.8244588,-3.2437196,1.007368,-2.0023844,5.202907,-5.4220376,-4.5134172,-6.5327754,-8.415187,-8.2300005,-8.172678,-7.3802705,-9.499077,-7.433762,-8.624774,-7.2546334,-9.459002,-8.356409,-7.40828,-8.080146,-7.9705014,-9.18171,-7.815361,-7.925219,-8.93553,-8.615119,-7.61088,-7.690668,-7.4904556,-8.391786,-7.648146,-8.686668,-7.4845104,-7.759558,-8.46531,-7.952767
3,-15.817224,-5.6559772,8.177264,0.7695264,0.8146648,-7.5798874,1.6729535,3.93233,8.775421,-11.812683,9.060531,-0.59846103,8.118393,-5.5213146,-5.7141123,4.775214,-6.8234262,9.308608,3.0596783,7.2374125,0.76723313,3.0646403,-3.1911461,-5.8947864,-6.8942943,-10.369102,12.362671,-0.6455682,-8.022825,-7.9082184,-7.9736457,-7.170497,-9.001626,-6.5018554,-8.074735,-7.084001,-8.972307,-7.69675,-7.3219004,-7.641608,-7.5213084,-9.003284,-7.556677,-7.3883657,-8.799938,-8.240597,-7.7225657,-7.3070107,-7.5828066,-7.996702,-7.537652,-8.811181,-7.378454,-7.2234597,-8.001742,-7.3053794
4,-5.3463206,-10.350956,18.051764,-1.0782857,0.5322215,-14.6743765,-4.5329823,8.293263,11.978047,-0.066462755,11.1197,7.816021,14.734333,-5.736457,-2.85227,3.9589531,-5.681113,8.61753,-3.4808023,-0.3178621,-1.3508813,0.9545652,2.2574415,-2.0554698,-2.1343822,-11.444016,17.17732,1.8297642,-6.6948886,-6.643091,-6.6290464,-6.114306,-7.8349285,-6.0017214,-7.0706487,-6.109253,-7.5557303,-6.8562694,-6.393644,-6.6427894,-6.240249,-7.4075155,-6.59086,-6.3458014,-7.4034934,-7.0580444,-6.391571,-6.3162823,-6.465705,-6.746613,-6.4020276,-7.36067,-6.2146006,-6.0240993,-6.9387913,-6.522682
5,-7.529379,4.388596,10.440014,1.7501186,-2.2873547,-10.6494255,2.228736,7.073912,2.4692047,-1.8708533,3.7554362,3.7927065,13.5608635,-4.6488433,-1.957978,-3.8939538,-6.525763,8.413799,-8.04726,-5.892267,-4.0648646,-5.788482,-5.8852735,-1.2207426,-5.0604253,-9.778267,7.3306518,2.190226,-8.253761,-8.198295,-8.345004,-7.7245126,-9.468713,-7.1138005,-8.346864,-7.3586197,-9.088977,-8.120549,-7.3491707,-7.8896346,-7.625667,-8.984041,-7.5878086,-7.678179,-9.040844,-8.464346,-7.6655707,-7.4154277,-7.7179184,-8.356651,-7.7617693,-8.671179,-7.6912627,-7.811582,-8.430204,-7.7826066
6,-12.843593,3.3063972,5.941281,1.7438129,7.309332,-7.0230536,-0.15389599,9.132883,13.17409,-2.6457884,13.37731,6.309898,9.611552,-13.310536,-6.424262,4.849506,-3.042064,7.6648555,-4.4238734,-0.06794865,-1.2729117,-2.548811,-2.1828163,-7.064514,-6.7401586,-5.6331654,8.844995,6.6116786,-4.7066526,-4.5288644,-4.627636,-3.8322506,-5.007191,-3.8179502,-4.523358,-3.8769188,-4.715126,-4.2988477,-4.558796,-4.547333,-4.259957,-4.8096066,-4.281147,-4.232462,-5.2389913,-5.0366125,-4.9632974,-4.250944,-4.676432,-4.080413,-4.3035307,-4.8341975,-4.053179,-3.893894,-4.199363,-4.042339
7,-13.595826,-4.1538405,2.2108371,7.4518714,7.553303,-5.9426174,-3.3576965,7.542291,17.418411,-2.1549556,9.110641,1.5564053,5.117824,-16.025036,-7.40024,-2.1224067,-0.51074874,4.452668,-2.6196282,-0.1691559,8.9435215,-4.2244453,-6.4587345,-3.9497714,-0.024924621,-4.721542,4.963555,8.470117,-9.596278,-9.696795,-9.620228,-9.2461605,-10.8204565,-7.7072678,-9.420139,-7.957915,-9.891292,-9.081468,-8.408325,-8.964586,-8.711258,-10.009834,-8.934627,-8.581767,-10.4424305,-9.701588,-8.7042055,-8.474456,-9.313712,-9.504316,-9.113673,-9.478594,-8.485188,-8.661587,-9.31828,-9.0404625
8,-10.159999,5.233003,7.8527207,8.24046,7.777912,-9.767978,5.3536043,4.6870446,13.992964,2.347656,10.31671,8.1712055,17.42383,-7.414111,-4.4112988,2.932336,-1.059571,7.3892612,-2.4608543,-0.67473036,2.4908412,-0.8056719,-1.3515675,-6.4940248,-4.0961223,-12.49089,8.583602,3.6645074,-9.019316,-9.28608,-8.765857,-8.561868,-10.370875,-7.721101,-8.957497,-7.723209,-9.996838,-9.232163,-8.024771,-8.719526,-8.473739,-9.573033,-8.690043,-8.125823,-9.671896,-9.352329,-8.045885,-7.92225,-8.487078,-9.187334,-8.699609,-9.303204,-8.322546,-8.40268,-8.988371,-8.69981
9,-3.5729594,0.8620728,1.1676946,6.1892576,2.402422,-9.085133,1.646521,0.06405466,1.1569825,1.0207692,-0.111255065,1.066641,7.4846725,-1.7676858,-0.8533295,-1.0132929,-2.476245,3.1045585,-3.0718365,-1.634496,1.8966802,-2.2606738,-4.6694036,0.07100779,-3.6905386,-1.0369738,2.474235,-1.9916614,-9.384046,-9.387958,-9.140883,-8.776486,-10.888782,-8.758601,-9.997114,-8.425503,-10.564824,-9.9692545,-8.616632,-9.453693,-8.83131,-10.216272,-9.1349125,-9.090645,-10.101213,-9.945326,-8.750214,-8.783205,-8.681917,-9.832301,-9.005269,-10.294819,-8.916994,-8.77428,-9.8728285,-9.351792
